t,msd
565.8000000000001,-57.945695019044734
565.9,-57.957503346877104
566.0,-57.94229587600421
566.1,-57.896145789838954
566.2,-57.83698519200039
566.3000000000001,-57.7839563079999
566.4,-57.746703099613256
566.5,-57.7292592954841
566.6,-57.73284795520558
566.7,-57.73591966163904
566.8000000000001,-57.725025237614176
566.9,-57.71383926192652
567.0,-57.726232872970115
567.1,-57.76776384847994
567.2,-57.81689973728774
567.3000000000001,-57.850971278302524
567.4,-57.860776341951585
567.5,-57.861915257929155
567.6,-57.871323408196524
567.7,-57.88030113992272
567.8000000000001,-57.86678349860849
567.9,-57.84142787427224
568.0,-57.8242164633297
568.1,-57.82480013118362
568.2,-57.830128355163716
568.3000000000001,-57.82116706862791
568.4,-57.79713248676071
568.5,-57.77408767642894
568.6,-57.75895899956959
568.7,-57.76309099369244
568.8000000000001,-57.77512416117277
568.9,-57.789555091703356
569.0,-57.77972425597666
569.1,-57.736234506711504
569.2,-57.67056671793813
569.3000000000001,-57.622848114932545
569.4,-57.615837277881056
569.5,-57.63509592283913
569.6,-57.64925389069286
569.7,-57.65660797393736
569.8000000000001,-57.66024410211183
569.9,-57.65228757813357
570.0,-57.649656826549545
570.1,-57.6695155977909
570.2,-57.70515026995034
570.3000000000001,-57.73731226580145
570.4,-57.752852982904685
570.5,-57.75577225886972
570.6,-57.75367496090898
570.7,-57.759873077865166
570.8000000000001,-57.756470170244434
570.9,-57.73480028631836
571.0,-57.71471002961501
571.1,-57.71053267523386
571.2,-57.7267854811501
571.3000000000001,-57.743419496088556
571.4,-57.731495046927215
571.5,-57.68286508371961
571.6,-57.641248886652306
571.7,-57.62959899290848
571.8000000000001,-57.63011597627523
571.9,-57.62495217608778
572.0,-57.62292432273323
572.1,-57.63047218745434
572.2,-57.634611850431504
572.3000000000001,-57.62871962574136
572.4,-57.62255714930011
572.5,-57.62141908161191
572.6,-57.61638674113847
572.7,-57.617488181559715
572.8000000000001,-57.64157184585317
572.9,-57.66730489605217
573.0,-57.684759614503335
573.1,-57.70792351673192
573.2,-57.73731714359625
573.3000000000001,-57.76308918298233
573.4,-57.787794788208714
573.5,-57.80375213109636
573.6,-57.793117622536776
573.7,-57.75564247672293
573.8000000000001,-57.72527847843543
573.9,-57.70789901250209
574.0,-57.69245599456967
574.1,-57.7034837686007
574.2,-57.74599951226066
574.3000000000001,-57.80761430763003
574.4,-57.847059178834094
574.5,-57.849393162769864
574.6,-57.823577018483604
574.7,-57.790608035413555
574.8000000000001,-57.76946429678737
574.9,-57.75121750613205
575.0,-57.72583416107557
575.1,-57.700187805972426
575.2,-57.67490803345146
575.3000000000001,-57.66006970860534
575.4,-57.64984874168441
575.5,-57.635411029584425
575.6,-57.61765277292247
575.7,-57.622841695438694
575.8000000000001,-57.67090224712449
575.9,-57.7364650399751
576.0,-57.784812706697565
576.1,-57.80155739736015
576.2,-57.784418043030264
576.3000000000001,-57.76294874078255
576.4,-57.773349376647865
576.5,-57.81615600377761
576.6,-57.85978734463289
576.7,-57.88549237988668
576.8000000000001,-57.911103961816345
576.9,-57.94195775332522
577.0,-57.95347211310638
577.1,-57.945719585070655
577.2,-57.93759708022832
577.3000000000001,-57.94388268968918
577.4,-57.958937493190206
577.5,-57.955714638870454
577.6,-57.92028606831377
577.7,-57.86523601094511
577.8000000000001,-57.83921949048358
577.9,-57.84830978962332
578.0,-57.87974271984418
578.1,-57.926243986689364
578.2,-57.970934523970485
578.3000000000001,-58.00916147897148
578.4,-58.04440011536901
578.5,-58.06478047111323
578.6,-58.06204975984649
578.7,-58.0479642157885
578.8000000000001,-58.02185905660672
578.9,-57.98052219234832
579.0,-57.924112167063626
579.1,-57.86855695994742
579.2,-57.8351766853394
579.3000000000001,-57.81992399374176
579.4,-57.80160170549609
579.5,-57.7721604162878
579.6,-57.74239812828633
579.7,-57.73719355830876
579.8000000000001,-57.76530785186629
579.9,-57.81489937799283
580.0,-57.86484673939526
580.1,-57.90295093709954
580.2,-57.92875804971751
